"ID","タイトル","巻・号","著者","発行者","発行年","県","市町村","旧市町村","flag","lat","lon"
"https://iss.ndl.go.jp/books/R100000002-I000008164472-00","菖蒲町の歴史と文化財","資料編","菖蒲町教育委員会 (埼玉県)","菖蒲町教育委員会",2006,"埼玉県","久喜市","南埼玉郡菖蒲町",0,36.059391,139.60112
"https://iss.ndl.go.jp/books/R100000002-I000008178083-00","ふるさと錦田の石造物",,"錦田郷土研究会","錦田郷土研究会",2006,"静岡県","三島市",,1,35.118809,138.918945
"https://iss.ndl.go.jp/books/R100000002-I000008200124-00","弥彦村の石仏",,"五十嵐, 敬吾","弥彦村教育委員会教育課",2006,"新潟県","西蒲原郡弥彦村",,0,37.690971,138.855164
"https://iss.ndl.go.jp/books/R100000002-I000008208985-00","八千代市の歴史","資料編 近代・現代 3,資料編 石造文化財","八千代市","八千代市",2006,"千葉県","八千代市",,0,35.72226,140.099426
"https://iss.ndl.go.jp/books/R100000002-I000008217839-00","石狩の碑 : 石碑等にみる石狩市の歩み","第3輯","石狩市郷土研究会","石狩市郷土研究会",2006,"北海道","石狩市",,1,43.17078,141.31662
"https://iss.ndl.go.jp/books/R100000002-I000008233802-00","杉並の石造物 : 吉祥院・鳳林寺地蔵菩薩像",,"東京都杉並区教育委員会","杉並区教育委員会",2006,"東京都","杉並区",,0,35.6992,139.636505
"https://iss.ndl.go.jp/books/R100000002-I000008311166-00","飯島町の石造文化財",,"飯島町教育委員会 (長野県)","飯島町教育委員会",2006,"長野県","上伊那郡飯島町",,0,35.67654,137.919418
"https://iss.ndl.go.jp/books/R100000002-I000008322104-00","山口村石仏・石造物 : 山口地区",,"山口村教育委員会 (長野県)","山口村教育委員会",2006,"岐阜県","中津川市","長野県木曽郡山口村",0,35.749069,136.96434
"https://iss.ndl.go.jp/books/R100000002-I000008369677-00","お地蔵さん : 吹上の石仏調査",,"コスモス大学校第17期生","コスモス大学校第17期生編集企画委員会",2006,"埼玉県","鴻巣市",,1,36.065868,139.522003
"https://iss.ndl.go.jp/books/R100000002-I000008379648-00","幸手の石造物","2(吉田地区 1)","幸手市教育委員会","幸手市教育委員会",2006,"埼玉県","幸手市",,0,36.078362,139.72522
